claim_id,claim,classification,exact_basis,authoritative_artifact
1,SIXS improves local geometric validity on the current prospective ETFlow cohort.,SUPPORTED_STRONGLY,Source V3D 0.2226; Unrestricted three-seed mean 0.5032.,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv; reports/ecir_mvr/final_evidence_closure/04_PRIMARY_PAIRED_STATS.csv
2,Reliability contributes independently beyond predictive sigma.,SUPPORTED_STRONGLY,Reliability-off V3D 0.36627 versus Full Unrestricted 0.50320.,reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv
3,Predictive sigma materially affects final action weighting.,SUPPORTED_STRONGLY,"Fixed-sigma-action V3D 0.37447 versus Full 0.50320; inference-only action ablation, not a sigma-training-necessity claim.",reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv
4,Bond action is dominant and Angle action is complementary.,SUPPORTED_STRONGLY,"Bond-only V3D 0.49160, Angle-only 0.29607, Full 0.50320.",reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv
5,Adaptive BA gives a smaller but consistent additional gain.,SUPPORTED_STRONGLY,Equal-BA V3D 0.49540 versus Full 0.50320 over matched seeds.,reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv
6,Learned tau materially affects final action execution.,SUPPORTED_STRONGLY,"Fixed-tau V3D 0.39233 versus Full 0.50320; inference-only action ablation, not a tau-training-necessity claim.",reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv
7,SIXS improves local Reference geometry.,SUPPORTED_STRONGLY,Across all three seeds Bond/Angle MAE effects are negative with 95% CIs excluding zero.,reports/ecir_mvr/final_evidence_closure/11_REFERENCE_PAIRED_STATS.csv
8,SIXS globally recovers the Reference conformer.,NOT_SUPPORTED,Reference RMSD worsens by +0.000326 to +0.000595 A across seeds; every 95% CI excludes zero.,reports/ecir_mvr/final_evidence_closure/11_REFERENCE_PAIRED_STATS.csv; reports/ecir_mvr/final_evidence_closure/12_REFERENCE_FIDELITY_CONCLUSION.md
9,AvgFlow shows zero-shot structural-validity transfer.,SUPPORTED_WITH_SCOPE_LIMIT,V3D 0.5472 raw versus 0.5755 three-seed mean; PB essentially stable and Reference fidelity mixed.,reports/ecir_mvr/sixs_final_cross_upstream_unrestricted/avgflow/METHOD_SUMMARY.csv; reports/ecir_mvr/final_evidence_closure/AVG_REFERENCE_FIDELITY_CONCLUSION.md
10,AvgFlow energy improves.,NOT_SUPPORTED,Per-seed median DeltaE is +0.2614 to +0.3016 kcal/mol; lower-energy fractions are 0.0161 to 0.0180.,reports/ecir_mvr/final_evidence_closure/13_AVGFLOW_ENERGY_AUDIT.csv
11,DiTMC shows structural transfer.,SUPPORTED_WITH_SCOPE_LIMIT,"V3D rises from 0.1612 raw to 0.39033 three-seed mean, but stability is not universal.",reports/ecir_mvr/sixs_final_cross_upstream_unrestricted/ditmc/METHOD_SUMMARY.csv; reports/ecir_mvr/final_evidence_closure/07_DITMC_TAU_FORENSIC_CONCLUSION.md
12,DiTMC transfer is fully stable.,NOT_SUPPORTED,Seed307 has 194 records with tau > 1 A and tau max 398.680 A; the output/displacement consistency audit passes.,reports/ecir_mvr/final_evidence_closure/06_DITMC_TAU_FORENSIC.csv; reports/ecir_mvr/final_evidence_closure/07_DITMC_TAU_FORENSIC_CONCLUSION.md
