claim,status,basis,next_requirement
improves local validity,REQUIRES_FINAL_TEST,"Supported on multiseed ETFlow DEV","Replicate once on clean primary final cohort"
improves V3D,REQUIRES_FINAL_TEST,"Strong DEV evidence and three-seed consistency","Paired protected-final V3D contrast"
preserves PoseBusters validity,REQUIRES_FINAL_TEST,"PB practical tie across three DEV seeds","Protected-final PB overall/components"
improves GFN2-xTB single-point energy,REQUIRES_FINAL_TEST,"Negative median deltaE at all six DEV runs","Protected-final matched single-point energy"
preserves source conformation,REQUIRES_FINAL_TEST,"Tiny DEV displacement with a stable Restricted/Unrestricted trade-off","Protected-final displacement and movement tails"
robust across seeds,CURRENTLY_SUPPORTED,"Three matched seeds; integrity PASS","Report all seeds and sample SD"
generalizes to TRAIN-unseen DEV molecules,CURRENTLY_SUPPORTED,"DEV has zero molecule overlap with TRAIN","Keep explicitly labeled development evidence"
generalizes to completely development-unseen molecules,REQUIRES_FINAL_TEST,"No suitable primary protected outcome has been opened","Clean zero-TRAIN/DEV-overlap same-ETFlow cohort"
generalizes across upstream generators,REQUIRES_NEW_EXPERIMENT,"No current-checkpoint cross-upstream outcome","Optional DiTMC secondary holdout only if claimed"
faster than MMFF94s,REQUIRES_NEW_EXPERIMENT,"No matched inference/runtime benchmark","Frozen learned-versus-MMFF runtime protocol"
faster than GFN2-xTB optimization,DO_NOT_CLAIM,"No optimization baseline or runtime","Run matched optimization only if claim becomes necessary"
better than MMFF94s,REQUIRES_NEW_EXPERIMENT,"No exact-record MMFF quality comparison","Submission-critical matched MMFF94s baseline"
preserves conformer diversity,REQUIRES_NEW_EXPERIMENT,"Not currently measured; two records per molecule permit a limited check","Optional/should-have pairwise-RMSD preservation diagnostic"
improves COV,NOT_APPLICABLE,"One-to-one local refiner does not generate an ensemble","Do not claim"
improves AMR,NOT_APPLICABLE,"One-to-one local refiner does not generate an ensemble","Do not claim"
useful for downstream models,DO_NOT_CLAIM,"No downstream pipeline or evidence","Not required for current paper"
globally recovers reference conformers,DO_NOT_CLAIM,"Reference RMSD is essentially unchanged","Keep scope local"
provides calibrated uncertainty,DO_NOT_CLAIM,"Predictive scale calibration not established","Use conservative action-weighting language or add calibration"
