paper_question,required_evidence,current_evidence,dataset,split,metric,baseline,seed_status,protocol_status,already_complete,missing,must_have,claim_supported,notes
"Does the method improve local structural validity?","Paired outcome-unseen comparison on identical Source records","DEV: Source V3D about 0.4204; Restricted 0.5645±0.0017 and Unrestricted 0.5681±0.0011 across seeds","ETFlow","TRAIN-unseen DEV","V3D overall plus four components","Source; MMFF94s","307/331/353 PASS","Evaluator frozen; final cohort unopened","Development only","Protected same-upstream replication and MMFF94s","YES","DEV_ONLY","V3D is the primary structural-validity endpoint"
"Is the effect stable to training randomness?","Matched formulations and seeds with fixed endpoint","Six complete GPU runs; multiseed integrity PASS","ETFlow","DEV","Seed mean±SD and matched-seed differences","Restricted versus Unrestricted","307/331/353 PASS","Frozen step17500 matched protocol","YES","None for seed robustness","YES","YES","Do not treat n=3 as high-powered population inference"
"Does it generalize beyond TRAIN molecules?","Molecule-disjoint evaluation","DEV has 2500 molecules and zero molecule overlap with TRAIN","ETFlow","DEV","All frozen endpoints","Source","307/331/353 PASS","Development cohort repeatedly observed","YES_FOR_DEVELOPMENT","Independent outcome-unseen final cohort","YES","PARTIAL","TRAIN-unseen DEV is not a protected final test"
"Does it generalize to completely development-unseen molecules?","One-shot zero-TRAIN/DEV-overlap same-upstream final cohort","No valid primary cohort is ready as-is","ETFlow","Protected final","Primary and secondary frozen endpoints","Source; MMFF94s","Not run","Cohort identity not yet frozen","NO","Primary cohort identity and outcome-blind protocol freeze","YES","NO","Formal has TRAIN overlap; DiTMC holdout is secondary only"
"Does it generalize across upstream generators?","Frozen current-method evaluation on a disjoint alternate-upstream cohort","DiTMC large-holdout metadata exists; outcomes closed","DiTMC","Secondary holdout","Same endpoint set","DiTMC Source","Not run","Legacy protocol requires current identity freeze","NO","Optional secondary result","NO","NO","Not required for ETFlow-scoped claim"
"Does refinement preserve the input conformation?","Raw displacement and aligned Source RMSD with tails","Three-seed raw displacement: Restricted about 0.00555 Å; Unrestricted about 0.00616 Å","ETFlow","DEV","Raw Source displacement RMS; Kabsch Source RMSD; movement tails","Source equals zero displacement","307/331/353 PASS","Naming collision remains","PARTIAL","Correct vocabulary and final replication","YES","DEV_ONLY","Restricted/Unrestricted form a source-fidelity trade-off"
"Does refinement recover the Reference conformer?","Frozen correspondence and ensemble-min Kabsch RMSD","Reference RMSD about 1.31964 Å for both; essentially unchanged","ETFlow","DEV","Reference RMSD","Source; Reference ensemble","307/331/353 PASS","Fixed-order all-atom Kabsch PASS; no symmetry search","YES","Protected final context only","NO_AS_PRIMARY_CLAIM","NO_GLOBAL_RECOVERY","Use as contextual locality metric, not headline improvement"
"Does refinement improve continuous local geometry?","Paired continuous Bond/Angle errors","Bond and cosine-Angle MAE plus internal objective are complete on DEV","ETFlow","DEV","Bond raw MAE; cosine-Angle raw MAE","Source; MMFF94s","307/331/353 PASS","Current evaluator frozen","YES_FOR_DEV","Protected final replication","YES_AS_SECONDARY","DEV_ONLY","Diagnostic/secondary endpoints explain V3D"
"Does refinement preserve broader chemical plausibility?","Independent validity battery and every component","PoseBusters about 0.9323–0.9324 across formulations/seeds; components complete","ETFlow","DEV","PB overall plus 10 selected components","Source; MMFF94s","307/331/353 PASS","PoseBusters 0.6.5 mol_fast conjunction","YES_FOR_DEV","Protected final replication","YES_AS_SECONDARY","DEV_ONLY","Partially overlaps V3D but adds sanitization/connectivity/radicals/planarity"
"Does refinement improve single-point energy?","Matched Source/proposal single-point calculations with robust tails","GFN2-xTB 6.7.1: negative median at all formulation/seed runs; 5000/5000 success each","ETFlow","DEV","Median deltaE; fraction below zero; trimmed mean; quantiles; tails","Source","307/331/353 PASS","GFN2 single point; no optimization","YES_FOR_DEV","Protected final replication and matched MMFF energy evaluation","YES","DEV_ONLY","Arithmetic mean is secondary because of rare catastrophic tails"
"Is learned refinement valuable versus inexpensive classical optimization?","Exact-record MMFF94s optimization and identical downstream evaluation","No exact final matched baseline","Future primary final","Protected final","V3D; PB; RMSDs; xTB single point; runtime; failures","MMFF94s","Not run","Protocol not yet frozen","NO","Matched MMFF94s geometry optimization","YES","NO","Submission-critical conventional baseline"
