audit_name,path,date_if_available,commit_if_available,scope,status,PASS_FAIL,main_conclusion,superseded_by,still_valid,evidence
DISCOVERY_CANDIDATE_SCAN,reports+docs,2026-08-31,UNKNOWN,filename/content discovery,COMPLETE,PASS,"284 candidate files in 45 directories were discovered; principal current-method chain reviewed below",NONE,YES,"read-only rg inventory"
SIX_ARM_FACTORIAL,reports/ecir_mvr/sixs_musigma_reliability_factorial_cuda/13_FINAL_DECISION.md,2026-08-29,UNKNOWN,J0/J1/J2 x R0/R1 DEV factorial,COMPLETE,PASS,"J1-R1 was best valid six-arm development formulation",FULL_JOINT_CHAIN,YES_AS_DEVELOPMENT_PROVENANCE,"13_FINAL_DECISION.md"
JOINT_MAGNITUDE,reports/ecir_mvr/sixs_j1r1_joint_magnitude_interaction_seed307/FINAL_DECISION.md,2026-08-30,UNKNOWN,J1-R1 magnitude interaction seed307,COMPLETE,PASS,"magnitude-only joint interaction supported on DEV",FULL_JOINT_RESTRICTED,YES_AS_COMPARATOR_PROVENANCE,"FINAL_DECISION.md"
FULL_JOINT_RESTRICTED,reports/ecir_mvr/sixs_j1r1_full_joint_adaptive_ba_movement_seed307/FINAL_STATUS.json,2026-08-30,UNKNOWN,restricted full joint seed307,COMPLETE,PASS,"step17500 restricted candidate V3D 0.564 and PB 0.9324",MULTISEED_PENDING,YES,"FINAL_STATUS.json and frozen checkpoint hashes"
FULL_JOINT_XTB,reports/ecir_mvr/sixs_j1r1_full_joint_adaptive_ba_movement_seed307/xtb_single_point_dev/XTB_FINAL_STATUS.json,2026-08-30,UNKNOWN,restricted seed307 frozen-coordinate GFN2-xTB,COMPLETE,PASS,"5000/5000 successful; median deltaE -1.3350749 kcal/mol",MULTISEED_PENDING,YES_FOR_SEED307,"XTB_FINAL_STATUS.json"
CAPACITY_EXTENSION,reports/ecir_mvr/sixs_full_joint_final_capacity_audit/12_FINAL_RECOMMENDATION.md,2026-08-30,UNKNOWN,17500 versus 22500 capacity diagnostic,COMPLETE,PASS,"22500 did not satisfy preregistered replacement criterion; retain 17500",NONE,YES,"12_FINAL_RECOMMENDATION.md"
REFERENCE_RMSD_INTEGRITY,reports/ecir_mvr/sixs_reference_xtb_and_unrestricted_movement_seed307/01_CURRENT_FINAL_EVIDENCE/01_REFERENCE_RMSD_INTEGRITY_AUDIT.md,2026-08-31,UNKNOWN,correspondence/Kabsch/reference ensemble,COMPLETE,PASS,"fixed-order explicit-all-atom float64 Kabsch to nearest frozen reference ensemble passed",NONE,YES,"CORRESPONDENCE_AUDIT.json"
UNRESTRICTED_CAPABILITY,reports/ecir_mvr/sixs_reference_xtb_and_unrestricted_movement_seed307/02_UNRESTRICTED_MOVEMENT/FINAL_CAPABILITY_DECISION.md,2026-08-31,UNKNOWN,unrestricted movement seed307,COMPLETE,PASS,"small movement emerged; restricted versus unrestricted remained a seed307 near tie",MULTISEED_PENDING,YES_FOR_SEED307,"FINAL_STATUS.json"
FINAL_PROJECT_INTEGRITY,reports/ecir_mvr/sixs_final_project_integrity_generalization_audit/23_FINAL_PROJECT_AUDIT.md,2026-08-31T14:27:23+08:00,UNKNOWN,full-project integrity/generalization,COMPLETE_READ_ONLY,PASS,"no train/dev molecule or reference leakage; DEV is development data; safe claim limited to unseen molecules in same ETFlow distribution",FINAL_CANDIDATE_SELECTION,YES,"FINAL_STATUS.json hash 607a2508..."
FINAL_CANDIDATE_SELECTION,reports/ecir_mvr/sixs_final_candidate_selection_audit/FINAL_CANDIDATE_AUDIT.md,2026-08-31T16:05:29+08:00,UNKNOWN,restricted versus unrestricted candidate decision,COMPLETE_READ_ONLY,PASS,"PARETO_NEAR_TIE at seed307; matched multiseed required",MULTISEED_PENDING,YES,"FINAL_STATUS.json"
